JWMNP,HINCP,AGEP,HUPAOC,NATIVITY,SEX,SCHL,PUMA,ST,
30,370310,62,4,1,2,19,03810,36,
0,370310,68,4,1,1,21,03810,36,
20,88000,40,4,1,2,20,03810,36,
25,275000,35,4,1,1,22,03810,36,
2,275000,35,4,1,2,21,03810,36,
0,64700,73,4,2,2,21,03810,36,
0,76000,29,4,1,2,22,03810,36,
0,76000,30,4,1,1,21,03810,36,
0,76000,58,4,2,2,21,03810,36,
0,5800,68,4,2,1,21,03810,36,
15,120000,65,4,2,2,21,03810,36,
0,28700,68,4,2,1,11,03810,36,
0,28700,65,4,2,2,15,03810,36,
0,28700,23,4,1,2,16,03810,36,
0,146600,75,4,1,2,23,03810,36,
0,355650,30,4,1,2,21,03810,36,
0,355650,30,4,1,1,22,03810,36,
0,44200,73,4,1,2,18,03810,36,
0,106200,77,4,1,1,24,03810,36,
20,695300,45,4,1,1,21,03810,36,
0,695300,44,4,1,1,21,03810,36,
20,582900,65,4,1,2,23,03810,36,
20,582900,64,4,1,1,1,03810,36,
20,582900,25,4,1,1,22,03810,36,
0,110000,27,4,1,2,21,03810,36,
0,8300,68,4,1,2,24,03810,36,
0,6000,83,4,2,2,16,03810,36,
60,884000,43,1,1,1,21,03810,36,
60,884000,42,1,1,2,23,03810,36,
0,884000,5,1,1,1,3,03810,36,
0,884000,3,1,1,2,1,03810,36,
0,697000,47,2,2,1,22,03810,36,
0,697000,46,2,1,2,22,03810,36,
0,697000,12,2,1,2,9,03810,36,
0,697000,10,2,1,1,7,03810,36,
30,310000,59,4,2,1,22,03810,36,
0,10,69,4,1,2,23,03810,36,
0,100000,32,4,1,2,21,03810,36,
0,244500,49,2,2,2,22,03810,36,
30,244500,57,2,1,1,21,03810,36,
0,244500,7,2,1,2,5,03810,36,
45,42300,27,4,1,2,21,03810,36,
0,64000,31,4,1,1,21,03810,36,
0,0,23,4,1,2,21,03810,36,
0,5400,81,4,2,1,16,03810,36,
0,128000,34,4,1,1,21,03810,36,
0,128000,35,4,1,2,21,03810,36,
0,126000,21,4,2,2,19,03810,36,
0,126000,22,4,2,2,19,03810,36,
0,48000,68,4,2,1,21,03810,36,
0,85000,27,4,1,2,21,03810,36,
15,1016000,50,2,1,1,21,03810,36,
0,1016000,48,2,1,2,22,03810,36,
0,1016000,16,2,1,2,13,03810,36,
0,1016000,13,2,1,1,11,03810,36,
0,49700,66,4,1,2,22,03810,36,
0,49700,67,4,1,1,19,03810,36,
5,418200,31,4,2,1,21,03810,36,
20,418200,29,4,2,2,22,03810,36,
0,29000,65,4,2,2,21,03810,36,
0,110000,55,4,1,1,22,03810,36,
0,48900,67,4,1,1,21,03810,36,
0,48900,67,4,1,2,21,03810,36,
10,250250,41,4,2,1,21,03810,36,
25,405000,30,4,2,2,21,03810,36,
25,405000,30,4,2,1,21,03810,36,
5,58000,33,4,1,2,21,03810,36,
0,315600,45,4,1,2,21,03810,36,
20,99000,41,3,1,1,22,03810,36,
0,99000,42,3,1,2,22,03810,36,
0,99000,8,3,1,1,5,03810,36,
0,99000,5,3,1,2,2,03810,36,
35,25300,52,2,2,2,16,03810,36,
0,25300,47,2,2,1,12,03810,36,
0,25300,19,2,1,1,18,03810,36,
0,25300,16,2,1,1,13,03810,36,
0,2400,22,4,1,1,19,03810,36,
25,160000,24,4,1,2,21,03810,36,
0,160000,24,4,1,2,21,03810,36,
0,160000,24,4,1,2,21,03810,36,
20,998000,40,1,1,1,21,03810,36,
0,998000,35,1,1,2,21,03810,36,
0,998000,3,1,1,1,1,03810,36,
0,998000,0,1,1,1,0,03810,36,
0,23200,52,2,2,2,22,03810,36,
0,23200,17,2,1,1,14,03810,36,
0,23200,17,2,1,1,14,03810,36,
0,120000,32,4,1,2,22,03810,36,
0,120000,33,4,2,1,16,03810,36,
0,17700,78,4,1,1,22,03810,36,
15,95000,23,4,2,2,21,03810,36,
0,39700,70,4,2,2,22,03810,36,
30,209700,70,4,1,1,23,03810,36,
0,209700,68,4,1,2,23,03810,36,
0,379000,95,4,1,2,18,03810,36,
0,120000,51,4,2,1,16,03810,36,
0,141000,50,2,1,1,21,03810,36,
15,141000,50,2,2,2,21,03810,36,
0,141000,19,2,1,1,16,03810,36,
0,141000,12,2,1,1,9,03810,36,
0,463100,34,4,2,2,22,03810,36,
0,463100,33,4,2,1,21,03810,36,
0,160000,29,4,1,2,21,03810,36,
0,160000,29,4,1,1,21,03810,36,
